1000,comment,Prequalified sentiment,Information,Opinion,Advice,Impression,Progress,Exercise,Body,Video,Length,Reviewer
15,I'm a full-time student with two jobs. Today I was so stressed out I thought I'd spend some time relaxing in a healthy way. I came across your videos and I'm glad I did! Day one complete! ,0.9991613626,0.40,0.60,0.00,0.60,0.60,0.00,0.00,0.70,188,D
16,I love this!,0.9998764992,0.40,0.80,0.00,0.70,0.00,0.60,0.00,0.70,12,J
17,first day today it was so soothing and relaxing it got my mind off of everything i was stressing about yesterday and days before that! Cannot wait to complete this challenge,0.9988002777,0.70,0.00,0.00,0.50,0.50,0.70,0.00,0.70,173,J
18,I had so much fun with this this morning but couldn't do the third downward dog because I was shaking to bad but this rocked!😃,0.9915685058,0.30,0.60,0.00,-0.20,0.00,-0.20,0.00,0.30,127,J
19,thank you for this great sequence.. I am a Beginner and looking forward to the next 29 days! Peace..,0.9998614788,0.20,0.30,0.00,0.70,0.40,0.00,0.00,0.00,100,J
20,"No matter how I feel on the front end I always feel so much better ( physically, mentally, emotionally ) when done. Namaste 🙏",-0.6511638761,0.40,0.40,0.00,0.50,0.00,0.00,0.60,0.00,126,J
21,What yoga pose or poses can stretch the top and side of my butt?,-0.9911056161,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,64,J
22,This is peerrrrfie early early in the morning before work ✊️👌,-0.9778326154,0.00,0.60,0.20,0.00,0.00,0.00,0.00,0.00,62,J
23,I feel like I'm going to hyperventilate halfway through the video! Guess I'm not used to breathing?  Any tips?,-0.9995520711,-0.30,0.00,0.80,-0.50,0.00,0.00,0.00,-0.50,110,J
24,Day 10- done---yay...it was my birthday. So did the quick yoga and was on my way celebrating my special day :),0.9910417199,0.60,0.00,0.00,0.00,0.60,0.00,0.00,0.00,110,J
25,omgosh best ten minutes ever...seriously tho....where have you been all my life girl?! :) xoxo thanks again!,0.9973178506,0.00,0.70,0.00,0.80,0.00,0.00,0.00,0.80,108,J
26,Perfect video at the perfect time! I will actually do this tomorrow morning because I won't get much sleep due to the golden globes (3-5am here in germany) and then I have to do a very important presentation at uni at 10am... hope that will wake me up ;),0.9966077805,0.30,0.40,0.00,0.00,0.00,0.00,0.00,0.00,254,J
27,"I postponed today's yoga practice as much as I can. It was 1 am when I finally started to do it. I am surprising myself that I am dedicated so far, it must be the positive community at the comments and Adriene's affords to make us love yoga. I never seen a community this positive and supportive anywhere.",0.9988998175,0.20,0.80,0.00,0.70,0.40,0.00,0.00,0.30,305,J
28,"Wow, I just actually enjoyed salute to the sun - that was first. I really want to thank you for this series. I have practised yoga in the past but not for some years.. This is such a lovely way to get back into it and I can already feel the benefits to my nearly seventy year old body. Thank you",0.9998425245,0.40,0.50,0.00,0.60,0.00,0.00,0.00,0.20,295,J
29,My favorite warmup video.  I've started doing this before doing any other videos and it helps loosen me up.,0.9837702513,0.30,0.50,0.00,0.00,0.30,0.00,0.00,0.30,107,J
30,3rd day doing the #ywacreativity...this was a tough one but I managed to do...I can't believe it :D. I'm documenting my journey on instagram @maria4lexy,-0.6647475958,0.30,0.00,0.00,0.00,0.70,0.00,0.00,0.00,152,J
31,that squat at the end had me dyyyying! lol,-0.9965362549,-0.20,0.00,0.00,0.30,0.00,-0.20,0.00,0.20,42,J
32,"I've never done yoga with the exception of the VERY occassional simple routine, and I have a thing about only doing it alone, so that I'm on day 11 of this is an accomplishment. I can keep up with most everything you're doing but I have to say, I have a real issue with downward dog. Like, it looks so nice when you do it but lemme tell you it DOES NOT feel nice when I do it lol. It's actually aggravating, like dude, I'm starting to think my legs are too long or too short compared to the rest of my body and I'm just not built for this :P",-0.9892600775,0.50,0.00,0.00,0.00,0.80,0.00,0.00,0.00,541,J
33,"11 down, 19 to go...",-0.9780946374,0.30,0.00,0.00,0.20,0.30,0.00,0.00,0.00,20,M
34,"I have always thought yoga was just a hipster thing until i tried it out with Adriene. You don't need an $300 mat and the latest must-have yoga pants plus a hefty monthly fee. Really, it takes just a mat, and internet connection. :) Thanks so much, Adriene!",0.9281688333,0.50,0.40,0.00,0.70,0.00,0.00,0.00,0.50,257,M
35,Memorial day May 25 2020 beautiful stretch something I needed everybody have a happy memorial day today.,0.9983583093,0.20,0.00,0.00,0.40,0.00,0.00,0.00,0.00,104,M
36,My favorite of the 30 days practices so far 💕,0.9009808302,0.40,0.70,0.00,0.80,0.70,0.40,0.20,0.60,46,P
37,thank you Adriene for this 30 days it it was amazing,0.9998757839,0.40,0.80,0.00,0.80,0.70,0.40,0.20,0.60,52,P
38,Fewwwwww this video was soooooo sweet ☺️ I was so very very sore from the last few videos but this one hit all the sweet spots. Thank u I feel AMAZING 😃,0.9992778897,0.30,0.40,0.00,0.70,0.20,0.20,0.00,0.40,153,M
39,Adriene...i have a question....can I doing yoga when I get my monthly period or menstruation? Thank you,0.9930497408,0.20,0.20,0.80,0.30,0.00,0.20,0.50,0.00,103,P
40,"i like these videos except for when i get so thrown off by the excessive chit chatting and over explaining during strenuous poses. Perhaps not the true type of yoga i am looking for. I don't want to be thinking of random comments and heyos while i am trying to balance and ground spiritually. This is a work out influenced by yoga, not true yoga. It has helped me but i'm not gonna lie i get soooooo flustered trying to hold a pose, breath and relax hearing you over explain and make silly comments.",-0.7284607291,-0.60,-0.30,0.00,0.70,0.00,-0.60,0.00,-0.60,499,M
41,"12 down, 18 to go...",-0.9711715579,0.30,0.00,0.00,0.20,0.30,0.00,0.00,0.00,20,M
42,The cover girl line was in my head when adriene said it... you can tell I was a teenager in the 90s lol,-0.9870888591,0.40,0.00,0.00,0.60,0.00,0.00,0.00,0.40,103,M
43,Ok so this is my first time doing a yoga and every time she says if you're a beginner you can take an easier pose I become more  determine to do the hard one LOL ( I know I know it's bad and I might injure myself but I listen to my body and if i feel pain or I'm about to twist myself i stop and do the modified version ) for today I tried to do the tree pose like her and i start moving my hands around like a little bird trying to fly lol to find my balance,-0.9651010633,0.50,0.00,0.00,0.60,0.30,0.60,0.40,0.00,459,D
44,"""That's an order!""  Gosh; so bossy.  Teasing.  <3",0.5126152635,0.00,0.30,0.00,0.40,0.00,0.00,0.00,0.40,49,M
45,"What surprised me the most today was that even though I can't do most of the harder poses, I did a great tree and warrior III pose today.
What the heck?

Looking forward to day 13",0.9985639453,-0.20,0.00,0.00,0.70,0.00,-0.20,-0.20,0.00,179,M
46,"I really can't do that downward facing dog variation with the twist, the sides of my hip just cramp up (gluteus medius, I guess). I'll come back to it later. For now, I'm pretty sure I saw a video for yoga for tired legs on the channel, so off to that, gonna do me good.",0.9699316621,-0.30,0.00,0.00,0.70,0.00,-0.40,-0.30,-0.30,270,M
47,"Day 12 done, almost halfway!",0.568503201,0.30,0.00,0.00,0.40,0.30,0.00,0.00,0.00,28,M
48,"I don't understand how I can hold these poses while wearing shoes, but barefoot?  My balance is completely off!  Thanks for the practice, Adriene.  30 days is my third consecutive 30 day session led by you.  Appreciate it!",0.9989264607,0.50,0.30,0.00,0.70,0.00,0.30,0.00,0.40,222,M
49,Loving the 30 days of yoga! Thank you so much!,0.9998793602,0.50,0.70,0.00,0.70,0.40,0.30,0.00,0.60,46,P
50,heels ar starting to kiss the floorintermittently in downward dog. foot yoga day one was brutal but now i do that during every practice even though its not there because my feet dosen't cramp upp when i hike with the pram in the woods.,-0.7914634347,0.40,0.20,0.00,0.70,0.30,0.30,0.30,0.50,235,M
51,20:35. Just sitting up straight stretches my hamstrings and top of my calves/knees,-0.9825542569,0.30,0.00,0.00,0.60,0.00,0.00,0.00,0.20,82,M
52,Really enjoying round 2 of 30 days of yoga.  I can definitely see a difference from the 1st round but my balance is still a wobbly mess:)  Thanks so much Adrienne! ,-0.9825012088,0.30,0.50,0.00,0.70,0.50,0.20,0.00,0.40,164,M
53,wow that eagle pose hurt!,-0.9987344146,-0.40,-0.40,0.00,0.40,0.00,-0.60,-0.40,0.00,25,M
54,"thank you so much for sharing these practices. you're an incredibly soothing and positive person, a perfect yoga instructor. you motivate but don't pressure, you challenge but don't stress :') thank you again, can't wait to do day 14 tomorrow",0.9998333454,0.20,0.50,0.00,0.70,0.30,0.30,0.00,0.50,242,M
55,Thank you for the gift of sharing a yoga class with you Adriene. My body shouts out loud: Give me yoga! #gratitude,0.9994748235,0.20,0.40,0.00,0.60,0.00,0.20,0.40,0.40,114,M
56,I loved this one! Gentle enough for waking up. Thank you!,0.9998810291,0.60,0.80,0.00,0.70,0.00,0.20,0.00,0.60,57,P
57,my ankles started hurting and I had to stop and take a little break. 2 weeks ago I would have been mad at me for not being able to finish the pose. but today I just accepted it and didn't judge.,0.9707500935,-0.30,0.00,0.00,0.70,0.00,-0.30,-0.50,0.30,194,M
58,Loved it!,0.9998828173,0.30,0.60,0.00,0.00,0.00,0.00,0.00,0.70,9,P
59,"Thank you so much, Adriene. I enjoy this challenge so much! It's awesome to have a few minutes just for myself and my yoga practise. I love the balancing poses, it's helps to clear my mind. :) ",0.9998650551,0.80,0.90,0.00,0.80,0.60,0.50,0.60,0.80,193,P
60,"Жопа пацаны, жопа",-0.8544896841,,,,,,,,,17,
61,"I'm a few days behind, it looks like Day 14 is not (yet) in your playlist: https://www.youtube.com/playlist?list=PLui6Eyny-UzwxbWCWDbTzEwsZnnROBTIL",-0.9996997118,0.20,0.00,0.00,0.50,0.00,0.00,0.00,0.20,147,M
62,"It's 9:20pm and I'mdone with day 14. Yay! 💖
Btw, is it okay to do yoga at this time? I'll feel guilty if I miss a day.",-0.9945132732,0.40,0.20,0.80,0.70,0.40,0.00,0.00,0.40,119,M
63,got a little sweatin on today ;),-0.9174906611,0.20,0.00,0.00,0.30,0.00,0.00,0.00,0.20,32,M
64,Day 14: Waking up never feels all that great until I get onto the mat. I feel so alive after today's practice. I decided to take my time and will do day 15 when I am ready instead of setting expectations for myself to keep up with everyone else. ,0.9976214767,0.40,0.40,0.00,0.70,0.80,0.50,0.00,0.00,246,D
65,That was awesome! Thank you Adriene! x,0.9998648167,0.60,0.80,0.00,0.60,0.00,0.00,0.20,0.40,38,P
66,"Today was challenging for me but fun! I still need to work on my flexibility, but I've definitely noticed my heels aren't as high  up now during downward dog :)",0.9776259065,0.50,0.80,0.00,0.70,0.00,0.40,-0.30,0.40,160,G
67,Thank you dear Adriene! This  challenge is so yummy and Im actually finding what feels good! And my back never felt better! Also Im seeing more strength in my arms and more flexibility <3 thank you so much for this beautiful experience <3,0.9998604059,0.60,0.80,0.00,0.90,0.80,0.60,0.60,0.70,238,G
68,Lol I just googled what nameste means and it means I see the light in you,0.9973645806,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.60,73,G
69,"i think this was the first time i didnt stop a yoga video half way and walk away. I was so surprised when it finished, i thought it was only 5 minutes long. Fantastic job. love the stretches. ",0.9979059696,0.40,0.80,0.00,0.90,0.00,0.70,0.60,0.80,192,G
70,"I'm supposed to be at day 17 but because of the tiredness of the last two days i am here today and for the love of the gods i did not expected half moon to be that hard, but it didn't set me back, i'll keep going to day 30 and more",-0.7096181512,0.70,0.60,0.00,0.50,0.60,-0.80,0.00,0.60,231,D
71,"Balance has never been my strong point so this was a tough one haha, half moon was tough but just about doable in some variation on the right leg but the left leg not so much, falling over the place, two weeks ago that would have made me grumpy and want to give up but today I was just laughing and having fun, my perspective on success has totally shifted! Big love",-0.9643147588,0.50,0.00,0.00,0.70,0.70,0.60,-0.30,0.40,366,D
72,"dumb question 
we breathe out through the nose or the mouth? because, as far as i know, in yoga we breathe in and out through the nose 
but often the breath sound of Adriene sounds like she breathes out through the mouth 

i'm confused, what should i do?",-0.9785118699,0.30,0.30,0.80,0.70,0.00,0.00,0.00,0.20,254,M
73,Today is day 16. I can’t raise my arms bcoz of day 15,-0.9870719314,-0.30,0.00,0.00,0.40,0.00,0.00,-0.50,0.00,53,M
74,"I love how you've been closing your videos lately: with a nice cameltoe peek-a-boo!
27:07  27:29  27:55",0.9969092011,0.20,0.00,0.00,0.60,0.20,0.00,0.00,0.00,103,M
75,Thank you adriene!!,0.9998539686,0.40,0.60,0.00,0.70,0.00,0.00,0.20,0.70,19,P
76,"Adriene! Video after video you spend forever on one side and then rush through the other side and it's really stressful! Please try to make them more even!Also-- I would love to spend 2 minutes in shavasana listening to you breathe (reminding me to breeeaatthhheee) at the end of each video, instead of having to rush up and press pause and then try to get back into the zone of shavasana.I love your channel, I love your videos, I sing your praises literally everywhere. If you could improve on these two things I would be willing to pay for these videos.",0.9982094765,0.40,0.50,-0.80,0.70,0.00,0.00,0.00,0.30,556,M
77,That was challenging but I am glad I did it. Feel so good.,0.9998611212,0.20,0.30,0.00,0.60,0.30,0.30,0.00,0.30,58,M
78,thant was one hard practice! but still enjoyed it :),0.9996584654,0.20,0.30,0.00,0.60,0.00,0.30,0.00,0.30,52,M
79,"Anyone else find one side easier to balance on with the half moon? My left leg is significantly stronger than my right since I am a regular-footed surfer and skater, but I never realised how much I rely on my left leg to support me until today's class!",0.97570467,0.50,0.20,0.00,0.80,0.00,0.00,-0.20,0.40,252,M
80,Quick and dirty today! LOL,-0.8309586048,0.20,0.00,0.00,0.40,0.00,0.20,0.00,0.30,26,M
81,this one was super boring,-0.999738276,-0.20,-0.80,0.00,-0.60,0.00,0.00,0.00,-0.70,25,P
82,i feel so much stronger! when i move i can actually feel muscle volume that has never been there. after only 16 days? what happens after 30 days? or a year of yoga? will i explode??,-0.9360833764,0.30,0.20,0.00,0.70,0.40,0.00,0.40,0.40,181,M
83,Detta var precis det passet jag behövde idag ✌️,-0.9872954488,0.30,0.30,0.00,0.60,0.00,0.00,0.00,0.40,47,M
84,I like reading the comments after. Everyone is so beautiful and positive!,0.9998869896,0.40,0.50,0.00,0.00,0.00,0.00,0.00,0.40,73,P
85,Ohh yeah that hits the spot!! 🙃✌,0.9993941784,0.30,0.20,0.00,0.60,0.00,0.20,0.20,0.30,33,M
86,Thank you Adrienne!🌷🌲🌱,0.9998662472,0.40,0.60,0.00,0.70,0.00,0.00,0.20,0.70,25,P
87,"Thanks for deactivating the ads,,,very rare today.",0.9981137514,0.20,0.30,0.00,0.60,0.00,0.00,0.00,0.20,50,M
88,"I really feel like I had better control of my breath today! usually I’m almost hyperventilating 5 mins in but not this time! I also fell over about 0.5 seconds into side plank and didn’t beat myself up about it, just laughed and tried again. progress :)",0.9687268734,0.50,0.20,0.00,0.70,0.50,0.40,0.30,0.50,253,M
89,"OMG!!!!! this day was HUGE for me in personal growth and progress! I went to the super market and finally did shopping to go back on my healthy diet! starting again a detox for processed suger! and!!! Im so closed to flat my fit on the groung in downward facing dog! I am able to hold in plank longer abd I was able to do a side plank! (one side full the other one weaker, but its a HUGE progress from where I started! you are a life saver (I am very obese due to emotional eating and sugar addiction so, when I say life saver, I mean it), thank you so much",0.826993525,0.60,0.40,0.00,0.80,0.30,0.20,-0.50,0.60,557,M
90,Does anyone have any recommendations for a good non slip mat? Im finding my palms are getting sweaty so in downward dog variations i'm focusing more on not slipping than the actual practice!  Thanks in advance!,-0.7842280865,0.40,0.20,0.80,0.70,0.00,0.00,0.00,0.30,210,M
91,that squat is killing me,-0.9997199178,-0.20,-0.30,0.00,-0.50,0.00,0.30,-0.60,0.00,24,P
92,One of the thoughest practices 👌🏻💦😅,-0.9250485897,-0.60,-0.70,0.00,-0.80,0.00,-0.70,-0.60,-0.60,39,D
93,"I started to cry in shavasana, why? :D",-0.9883412719,0.20,0.00,0.00,0.50,0.00,0.00,0.00,0.00,38,M
94,I love it,0.9998799562,0.30,0.80,0.00,0.80,0.00,0.00,0.00,0.70,9,P
95,"the first 2 weeks of quarantine were awful, but since I started with these videos I feel so much better 💖💖🌱🌱 thank you from spain 💟✨",0.9751328826,0.20,0.40,0.00,0.70,0.30,0.00,0.00,0.30,137,M
96,Ahhhh so good. I'm feeling better after a few days of feeling a bit bleurgh and it felt amazing to get back on the mat again. :D xx,0.9998021722,0.30,0.40,0.00,0.70,0.30,0.00,0.00,0.30,131,M
97,"I don't remember exactly how many videos ago the challenge also included the yoga squat and I remember getting kind of frustrated because my balance was not good enough to hold the pose (I'm a little bit overweight and lockdow has not been helping at all). however, Adriane's encouraging words in every video allowed me to keep trying and allowing my body to slowly ease into this challenge. today, almost without realizing it, I was able to breathe while squatting without wobbling at all. so that's progress hhh.
Thanks Adriane ♥️",0.9914685488,0.50,0.30,0.00,0.80,0.40,0.20,-0.50,0.50,532,M
98,"I felt a little sick in the morning and had a headache. But I took a pill, did yoga 4 when ur a sick, and just got some rest, so I feel good now. I even finally did this practice, it was easy and fun. These 35min passed like 15. I even thought I definitely did something wrong, huh=)",0.998300612,0.30,0.20,0.00,0.70,0.00,0.50,0.00,0.40,283,M
99,Happyyyy!!!!!!!!!!!,0.9995946288,0.50,0.80,0.00,0.40,0.00,0.00,0.00,0.70,19,D
100,十八天打卡,-0.6831805706,,,,,,,,,5,
101,Maybe someone could tell me what to do with this bum right hip. I do left side beautiful and have loss of rotation in the right. Suggestions?,-0.9973618388,0.40,0.00,-0.60,0.00,-0.30,-0.40,-0.50,0.00,141,G
102,This session was soo yummy! Namaste 🙏🏾,-0.9712642431,0.00,0.80,0.00,0.70,0.60,0.70,0.70,0.00,40,G
103,My head when she went down on the one leg squat 🤯🤯🤯,-0.9959369898,0.00,0.70,0.00,0.90,0.00,0.70,0.70,0.60,54,G
104,"Done ✅ 
Thank you 🙏🏻",0.9996721745,0.30,0.80,0.00,0.60,0.40,0.30,0.20,0.70,22,P
105,TODAY WAS THE FIRST DAY I WAS ABLE TO DO A BALANCE POSITION THE ENTIRE TIME WITHOUT FALLING OVER!! Thank you Adriene for helping me stick with it!!,0.9996414185,0.60,0.70,0.00,0.90,0.80,0.80,0.70,0.60,147,G
106,"I did this today after work instead of in the morning. It was such a difference, so much more powerful. Adriene, thank you.",0.9998012185,0.40,0.70,0.00,0.80,0.00,0.30,0.20,0.70,123,P
107,"Hi Adriene, Iv been doing yoga with you during the covid crisis. I am a senior citizen. thank you. I love your calm and calculated approach. Of course at home doesn't matter if I can't be perfect, or am a bit slow.",0.9991648197,0.70,0.70,0.00,0.70,0.50,0.40,0.00,0.70,214,J
108,My balancing poses are getting better!!! :) This was hard but so fun it's nice to have something to work for. Thanks,0.9998130202,0.50,0.40,0.00,0.70,0.40,0.30,0.00,0.40,116,M
109,"On day ""48"" (30 + 18) and feeling great! I noticed that my flat feet are an issue when doing balance postures 😅 (I feel the bows of my feet burning 😥). I guess I'm using muscles I never used before. Thanks  again for your great videos! ",0.9899337888,-0.20,0.30,0.00,0.70,0.00,0.00,-0.50,0.30,238,M
110,Day 486 in books ❤️😀,-0.8346203566,0.20,0.00,0.00,0.50,0.00,0.00,0.00,0.00,21,M
111,Day 18 and 19 done today and my sickness is completely gone now 😁😁,-0.9969803691,0.30,0.00,0.00,0.60,0.40,0.00,0.00,0.30,68,M
112,Day 19 and I still cannot sit how Adriene sit at beginning... :( anyone else?,-0.9977433681,0.40,-0.40,0.60,-0.50,-0.40,-0.40,-0.70,0.00,77,P
113,This is a super great day (they are all but this one worked for me) - odd question. What brand are those yoga pants. I only where shorts but might delve into longer yoga pants. Like that look...,-0.9526780248,0.30,0.50,0.00,0.70,0.00,0.20,0.00,0.40,194,M
114,I realized how much stronger I've become when we went into that hover pose. Thanks for all the support ❤️,0.9980839491,0.40,0.50,0.00,0.70,0.30,0.30,0.00,0.40,105,M
115,the best and biggest  improvement I see in myself is when you say today its a quick practice and I get sad lmao,0.9378976226,0.40,0.00,0.00,0.70,0.50,0.00,0.80,0.40,111,M
116,I've stuck with it so far. Thank you for making these videos free! I feel stronger and more balanced. 🌷,0.9996725321,0.40,0.40,0.00,0.70,0.30,0.00,0.00,0.40,104,M
117,"Lovely Yogi... I've been practicing for years with your amazing videos, and each and every time I find something new to take away. You really have a gift and I thank you so much for sharing that was all of us. It's with deep gratitude that I go into my day now after enjoying this lovely practice",0.9998824596,0.60,0.70,0.00,0.80,0.60,0.00,0.00,0.50,296,M
118,busted out into tears after today's savasana. such a simple sequence today and yet so powerful. Thank you Adriene,0.9997540116,0.40,0.50,0.00,0.70,0.00,0.50,0.00,0.40,113,M
119,"I have this pair of pants that I wear even though they have been waaaay too tight for a couple years now.  The button feels like it will fall off when I wear them and they dig into my hips and feel uncomfortable by the end of the day, but they are my only khakis, so I wear them anyway.  THIS MORNING, I  put them on and THEY FIT!!!  Not too tight.  Button easily.  Comfortable all day long. :)  I already knew that 30 days of yoga was benefiting the way I feel on the inside (I feel so much happier and healthier each day), but it is nice to see that it is also making a difference on the outside, too.  THANKS, ADRIENE!",0.9983271956,0.60,0.50,0.00,0.80,0.50,0.00,0.80,0.40,621,M
120,But i did it! yay! Aching in places i probably shouldn't be aching in but yay!!,-0.7241479158,0.20,0.30,0.00,0.60,0.20,0.00,0.00,0.20,79,M
121,This is seriously kicking my ass holy fuck,-0.9700847268,-0.20,0.00,0.00,0.50,0.00,0.00,0.00,0.00,42,M
122,Starting late but starting all the same! I love your yoga style and feel better already!  30 mins snow seriously felt like 10 and i was a little sad it was over.,-0.9916796088,0.40,0.60,0.00,0.70,0.30,0.40,0.00,0.30,161,M
123,"I love doing yoga, but whenever I do it, my wrists begin to hurt in tabletop, downward facing dog, and similar positions. Am I stressing my body too much, doing it incorrectly, or will my wrist strength come with time and practice?",-0.9983485937,-0.50,0.00,0.00,0.70,0.00,-0.30,-0.50,0.40,231,M
124,and day 2 is done it was easy for me I don't know why .... I hope I will finished all the workouts....and thank you so much Adriene,0.9995025396,0.30,0.50,0.00,0.70,0.00,0.30,0.00,0.40,131,M
125,I love this girl... I'm sure she has a spy cam in my room though... how does she know I'm holding on for dear life and wobbling like a jelly lol,0.9923830628,0.30,0.50,0.00,0.70,0.00,0.20,0.00,0.50,144,M
126,"wow that escalated quickly! lol this had me sweating, struggling and feeling connected with myself all at the same time. thank you for all the options you provide when feeling tightness in the muscles, for teaching us how to breathe and listen to our bodies!",0.9997424483,0.40,0.50,0.00,0.70,0.00,0.50,0.50,0.50,258,M
127,"I've been doing one of your videos every second day for only 2 weeks now and i have to say they are amaaaaazing. Thank you! In such a short time my hamstring, calf and lower back flexibility has improved and so has the strength in my arms, shoulders and core. I worked a 12 hour shift on my feet today for the first time in a while so naturally my legs, feet and back were very tender when I got home. I decided to look up one of your videos to stretch it all out and this was MAGIC! Thank you once again, and please excuse my manic excitement.",0.9989696741,0.80,0.70,0.00,0.80,0.80,0.00,0.80,0.70,544,D
128,"I loved this yoga workout. 30 mins goes by so fast. So rewarding and relaxing. Thank you, Adriene!",0.9998857975,0.40,0.60,0.00,0.70,0.80,0.00,0.00,0.80,98,C
129,i am absolutely in love with this! super difficult  but i feel alive,0.9996286631,0.40,0.50,0.00,0.60,0.70,0.00,0.00,0.70,68,J
130,<3 Bird call <3,-0.5562610626,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.00,15,M
131,Today the soles of my feet touched the mat briefly in one of the downward facing dogs!!! this must be what progress feels like,-0.933142662,0.60,0.00,0.00,0.30,0.60,0.50,0.00,0.00,126,C
132,"today i tried jumping to the front of my mat in stead of walking, ouch my thighT_T",-0.9962970614,0.70,0.00,0.00,-0.30,0.00,0.00,-0.60,0.00,82,C
133,"Thanks for the videos :)

I have a problem though. I absolutely cannot sit on my knees like that, it feels like I'm trapping a nerve if I do it. Child's pose is fine however. Does anybody have any advice for this?",-0.9610203505,-0.60,0.30,0.70,0.00,0.00,-0.30,-0.70,0.50,213,C
134,Great practice! This one  found to be the most meditative in general so far. Sooooo relaxing. Quick question. Whenever you go into Up Dawg I notice you turn to look over each side. I have adopted this special move too but I was wondering why you do it since I don't think you ever address it. Thanks!,0.9991231561,0.60,0.60,-0.30,0.50,0.30,0.30,0.00,0.70,300,C
135,"Since starting this challenge I have found that I'm sleeping way more soundly and am more energetic with every day. Thank you Adriene, these videos are much appreciated! ",0.9998087287,0.70,0.30,0.00,0.00,0.50,0.00,0.00,0.80,170,C
136,Thank you so much for making these amazing videos Adriene! This challenge has been the only consistent part of my life at the moment since quarantine started and it has helped me to deal with anxiety and have some structure in my daily routine again. <3,0.9991229177,0.50,0.30,0.00,0.00,0.70,0.00,0.00,0.70,253,C
137,I loooooooooove this practice! :),0.7884260416,0.20,0.80,0.00,0.50,0.00,0.50,0.00,0.80,33,J
